1000055,Wed Feb 27 18:48:01 +0000 2019,"rahul gandhi’s vision?? what a joke? no one take him seriously and you are asking us to come his meaningless joke.
come on 
better we will watch indian australia t20 highlights tomorrow.  abhinandan bringabhinandanback bringabhinandanback notowar "
1000056,Wed Feb 27 08:42:11 +0000 2019,"congress president, sh. rahul gandhi has postponed the meeting of cwc &amp; public meeting, both scheduled at ahemdabad, gujarat tomorrow at 28th feb, in view of the prevailing security condition."
1000057,Fri Mar 01 13:13:13 +0000 2019,"  well said.. at least it doesn't effect the life of a poor person in india. but wait.. i find a similarity between jagan and rahul gandhi..both are corrupt to the core and even if you spit on their face, they don't mind.. you know why? they are shameless..just like you.."
1000058,Sun Mar 03 15:10:51 +0000 2019,"creditchorpracharak
cp shri rahul gandhi being in opposition cancelled most of his rallies post airstrikes &amp; wanted abhinandhan back.

but chowkidar was busy trying to make political mileage out of air strikes because chowkidaarchorhai"
1000059,Fri Mar 01 09:58:05 +0000 2019, i am willing to give my entire property if rahul gandhi clear pcs exam ias exam or even ssc cgl exam with interview.
1000060,Fri Mar 01 15:21:43 +0000 2019,"(5) international criticism of pakistan, may be more intense.
(6) goal post at this level is very risky and may give platform to initiate war.
warmongering 
(7) rahul gandhi may get little breath to make this opportunity but need to a lot to even release a statement."
1000061,Fri Mar 01 10:17:56 +0000 2019,  stages are finally getting ready for the final public greetings and meeting for rahul gandhi
1000062,Sun Mar 03 09:25:24 +0000 2019," dear rahul gandhi, do u hv no shame tht u r back for more public shame? ur family has been looting my country for yrs and u still hv no shame. return all the money back to the country then talk abt shame. until then for u, mum's the world."
1000063,Wed Feb 27 19:29:20 +0000 2019,"  why what good does it serve to live in a rat hole. modi is not leading any battlion currently the least he can do is ensure that he wins again. but since we are on the topic. curent sentiment isn't stopping your pal.
"
1000064,Fri Mar 01 11:17:13 +0000 2019," dear hasiba ji, 
you are absolutely right..but in same regards can you also tell whats the qualification of mr. rahul gandhi to lead as president of the oldest political party of this country? he may not even know how man states are there in india .."
1000065,Wed Apr 04 01:01:56 +0000 2018,our piece using facts to pour some ice cold water over the attempts to harm our national security through making false accusations against the rafale deal- india’s sole fighter jet deal in over 20 years  
1000066,Sun Mar 03 04:13:47 +0000 2019, what ur point is?  rahul gandhi was also born in congress era. ..are u ashamed of that? be clear. ..
1000067,Thu Feb 28 01:47:10 +0000 2019,"see  difference between opposition leaders. atal behari vajpayee then jan sangh leader had introduced in rajya sabha  then pm indra gandhi as an avatar of durga post 1971 bangladesh war. but rahul accusing modi ji of politicising recent successful surgical strike on pak.
shameful"
1000068,Mon Dec 17 07:29:53 +0000 2018,"former pm dr. manmohan singh, congress president sri rahul gandhi &amp; opposition leaders from across the country gather in rajasthan for the swearing in ceremony of cm ashokgehlot  &amp; deputy cm sachinpilot 
indiatrustscongress "
1000069,Sun Mar 03 11:14:00 +0000 2019,"rahul gandhi n his ilk in oppn n his own surfs in cong- shashi tharoor, digvijay n mamta etc who are demanding proof of balakot air strike are no less than traitors.they are serving pak interests by doubting our iaf."
1000070,Thu Feb 28 09:13:04 +0000 2019,  ankit do agree with your sentiments but also think of rahul gandhi who requested pak embassy not to release abhinandan till he requests. see the difference in feelings sky and down below undergriund. enemy within must be dealt with first . so bad and traitorous thinking.
1000071,Sun Mar 03 07:17:42 +0000 2019,  then rahul gandhi also will go there. then it will be real swach bharath.  good riddens to the family
1000072,Wed Feb 27 18:58:53 +0000 2019,"nationfirst when will rahul gandhi become mature and improve his personality?
and when will spent force leaders like sharad pawar,chandrababu naidu,etc stop projecting undeserving rahul gandhi as pm in waiting?"
1000073,Wed Feb 27 17:35:57 +0000 2019,"pakistan has all praise for rahul gandhi &amp; all opposition parties of india, including raj thackeray #"
1000074,Sat Feb 23 07:34:51 +0000 2019,congress president shri rahul gandhi  ji greets students who've come to interact with him at jawaharlal nehru indoor auditorium in delhi. youngindiarising 
1000075,Tue Oct 30 07:38:11 +0000 2018,"not surprised either with rahul gandhi's goof up and with his u turn on shivraj chouhan 

both reflect his lack of seriousness and sense of privilege to distort facts &amp; spread lies to suit his ends "
